trial_id,hidden_dims,grid,k,adam_steps,adam_lr,lbfgs_steps,lamb,lamb_entropy,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
11,[8],5,5,1000,0.0003,120,0.0001,2.0,0.20248635469780712,0.16540946066379547,-3.1187968254089355,0.04855468719694179,0.03987812623381615,0.1379406452178955,0.1485401839017868
3,[8],3,5,500,0.0003,60,0.0001,0.0,0.2067430847936144,0.1744609922170639,-3.293790340423584,0.049373414355179966,0.04170479252934456,0.15233498811721802,0.15533794462680817
14,[8],3,5,500,0.001,60,0.001,1.0,0.21441326361514484,0.1833975464105606,-3.618299961090088,0.051447217572188585,0.043968912214040756,0.15750744938850403,0.1629568487405777
16,[8],5,5,1000,0.001,120,0.001,2.0,0.21573548354370142,0.1812049299478531,-3.6754345893859863,0.05195949280585467,0.04349226877093315,0.15548688173294067,0.1623067557811737
8,[8],7,3,500,0.001,60,0.001,2.0,0.2157455936393005,0.1793680340051651,-3.675873279571533,0.05116403033645348,0.04274339601397514,0.15402686595916748,0.15857574343681335
4,[16],7,5,1000,0.0003,120,0.001,1.0,0.2161338306832543,0.17435887455940247,-3.692716598510742,0.05151365831564775,0.041778549551963806,0.14399288594722748,0.15387625992298126
6,[16],5,5,1000,0.0003,60,0.0,2.0,0.2206803791174269,0.17615105211734772,-3.892223358154297,0.0533585345033101,0.042505595833063126,0.14254863560199738,0.1568082869052887
15,[8],3,5,500,0.001,60,0.0,2.0,0.22484559615744487,0.19079947471618652,-4.078641891479492,0.05370758219555718,0.045449648052453995,0.1592865288257599,0.16852502524852753
7,[8],7,5,1000,0.001,120,0.0001,1.0,0.2279474988579471,0.19442248344421387,-4.219735622406006,0.05440906333962251,0.046425532549619675,0.1687195897102356,0.1718386858701706
5,[16],7,3,500,0.001,120,0.0001,1.0,0.23040170017501338,0.18395231664180756,-4.332737445831299,0.05374723638385549,0.04350252076983452,0.14957144856452942,0.16145117580890656
13,"[8, 4]",3,3,500,0.0003,60,0.0,0.0,0.23639795359382934,0.2069362998008728,-4.61392068862915,0.05657266164950873,0.04920105263590813,0.18074025213718414,0.18177150189876556
2,[8],7,3,1000,0.001,60,0.0,0.0,0.23647156610446662,0.20025691390037537,-4.617417812347412,0.055737129575410015,0.047340165823698044,0.16878828406333923,0.17550155520439148
12,"[16, 8]",3,5,500,0.0003,120,0.0001,0.0,0.24985464907283414,0.210540771484375,-5.271244049072266,0.05903578358982431,0.04972657933831215,0.17896988987922668,0.18289677798748016
10,"[8, 4]",7,5,500,0.001,60,0.0,1.0,0.2551531034510359,0.21398694813251495,-5.540042400360107,0.059052832536976956,0.0502893403172493,0.18321886658668518,0.18567687273025513
1,"[16, 8]",5,5,500,0.001,60,1e-05,0.0,0.26415455754070843,0.22474738955497742,-6.009629726409912,0.06285076877597806,0.05335848033428192,0.1861225962638855,0.19729183614253998
9,"[16, 8]",7,3,1000,0.001,60,0.001,2.0,0.2682530738151399,0.22942043840885162,-6.22883415222168,0.06262988883840448,0.05373375490307808,0.1924661099910736,0.19805362820625305
