term,coef,ci_low,ci_high,p_value
const,-2.539872350166833,-2.593484060629387,-2.4862606397042795,0.0
log_BT,0.12454428500329529,0.09597376099179032,0.15311480901480023,1.602529294910761e-17
log_IP,1.047139890993765,1.0126131138304197,1.0816666681571103,0.0
log_NEL,0.11982970813565585,0.09981290434547156,0.13984651192584013,1.8383867324205915e-31
log_PL,-0.6516963603193634,-0.6648325003640712,-0.6385602202746556,0.0
log_RGEO,1.4770463516018542,1.4247858154465527,1.5293068877571556,0.0
log_EPSILON,0.05369686617320396,-0.01626707347346558,0.1236608058198735,0.1324891967062901
log_KAPPA,0.18660991050731693,0.12179951145939608,0.25142030955523775,1.732140553026368e-08
log_DELTA,0.21888921396019267,0.14447744478431124,0.2933009831360741,8.491192980995693e-09
log_MEFF,0.2973453707784589,0.26195629289480343,0.3327344486621144,1.1699314638041573e-59
