epoch,train_mse,val_mse
1,0.6145951322021512,1.0306528806686401
2,0.28163773304974005,0.5676703453063965
3,0.2033640230574794,0.3300861716270447
4,0.1318952122468822,0.14172159135341644
5,0.08970909838710663,0.051232241094112396
6,0.07967647979744574,0.055703721940517426
7,0.07545752467270982,0.06379621475934982
8,0.07310442198300905,0.060742199420928955
9,0.07124980140238935,0.07012540102005005
10,0.06966870411616463,0.08434174954891205
11,0.06843714343111158,0.0649569183588028
12,0.06677989886471943,0.06310401111841202
13,0.06589318276811296,0.07103390246629715
14,0.06507696182281326,0.08179432898759842
15,0.06373647015440367,0.07696658372879028
16,0.06342055871150702,0.06857728213071823
17,0.06270082991479775,0.06469526141881943
18,0.061626389219731945,0.08903354406356812
19,0.061115560424051536,0.061414483934640884
20,0.0605637634240195,0.06096227467060089
21,0.060418512000591985,0.06768151372671127
22,0.0594813594754958,0.07151278108358383
23,0.059249536283012695,0.06535252928733826
24,0.05914386207507848,0.07402722537517548
25,0.058826832469440364,0.07630244642496109
26,0.05879363951885235,0.07747916132211685
27,0.05860777253269974,0.09226647764444351
28,0.058190474954157564,0.0756906196475029
29,0.05832344482737135,0.08442806452512741
30,0.05795622297108305,0.07264058291912079
31,0.05752797437676882,0.08347485959529877
32,0.05780005065766742,0.07748059928417206
33,0.05735313120990926,0.07240156084299088
34,0.05736738509711665,0.07064051181077957
35,0.056942795510893804,0.07276130467653275
36,0.056886923198558724,0.06560023128986359
37,0.05682626585363026,0.07513701170682907
38,0.05617512505422014,0.06679614633321762
39,0.05608202140665914,0.07346560806035995
40,0.056221040400228926,0.07264652848243713
41,0.05583382465871842,0.07410698384046555
42,0.05592003301049173,0.07266046106815338
43,0.05589203278563582,0.08046707510948181
44,0.05566086918609032,0.07632339745759964
45,0.05553914859858043,0.06737993657588959
46,0.0555443475221649,0.07342223823070526
47,0.055424263406163896,0.07348079979419708
48,0.05530267715388313,0.0725516676902771
49,0.05538936327756372,0.08380072563886642
50,0.05513001252527707,0.06984570622444153
51,0.05510503015288366,0.06784927099943161
52,0.05529525508176237,0.06633692234754562
53,0.05502723493202808,0.0731654167175293
54,0.05476845736732546,0.06950651109218597
55,0.05471365483007596,0.07779601216316223
