term,coef,ci_low,ci_high,p_value
const,-2.5888318171372786,-2.64303171132071,-2.534631922953847,0.0
log_BT,0.10438793948431471,0.07532503505607198,0.13345084391255746,2.1177784395313203e-12
log_IP,0.9916905211353789,0.9555714877645707,1.0278095545061872,0.0
log_NEL,0.08937026085372814,0.06768355913990837,0.1110569625675479,7.850126129835181e-16
log_PL,-0.5721001425987318,-0.5864399017254449,-0.5577603834720186,0.0
log_RGEO,1.3218619756854497,1.269566142677636,1.3741578086932635,0.0
log_EPSILON,-0.00884544859230114,-0.07766081048936016,0.05996991330475788,0.8010634714323259
log_KAPPA,0.2010039624408044,0.13889993900467404,0.26310798587693474,2.3885461396705835e-10
log_DELTA,0.05349495838683558,-0.021340647850418067,0.12833056462408923,0.16116743742066578
log_MEFF,0.3014428508651341,0.2683519645754683,0.33453373715479995,1.5101293980795096e-69
