held_out_tok,n_test,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
ASDEX,575,0.5071099088133179,0.47732852570811307,-2.3431932343245974,0.02265458234230275,0.020420206150255096,0.3869469780518997,0.37044870673096214
AUG,2141,0.23585836806560492,0.18700511324844468,0.6260576488008107,0.02196508714292146,0.016746039531432482,0.1642173263444591,0.20327422780179763
CMOD,82,0.11595833765994461,0.09324356404749752,0.7125169601212267,0.007471370462434567,0.005836399106448203,0.0747359603658625,0.0882469550280336
