epoch,train_mse,val_mse
1,0.5402700017657127,1.5857248306274414
2,0.16292953210407568,0.08521779626607895
3,0.08893269604285932,0.1906450092792511
4,0.0626607617618586,0.1294829547405243
5,0.05516140794184576,0.11477646976709366
6,0.05114615304573381,0.11540425568819046
7,0.05190608480002422,0.1173509731888771
8,0.049520418844891,0.11838070303201675
9,0.04801321512810061,0.12433729320764542
10,0.04669961555904425,0.11539744585752487
11,0.0455043465497835,0.108777716755867
12,0.04609590123224427,0.1298394352197647
13,0.04450902816703631,0.1123005747795105
14,0.045341111943631586,0.1124146357178688
15,0.04388506263876467,0.11339052766561508
16,0.04327068016453349,0.11080112308263779
17,0.042325214158552116,0.11168976873159409
18,0.043040613586657825,0.10949169844388962
19,0.041710560862375,0.10438958555459976
20,0.042027031631413234,0.10311130434274673
21,0.04181822000394795,0.10554610937833786
22,0.04160054480778026,0.10570503026247025
23,0.0423146888724164,0.11618951708078384
24,0.041842820044636346,0.10558054596185684
25,0.04054959590079771,0.10587862133979797
26,0.04094871686810484,0.10485903918743134
27,0.04117946665503319,0.10748918354511261
28,0.04088211645334402,0.1200382336974144
29,0.04028636391845142,0.10616085678339005
30,0.04033683722941222,0.10653258860111237
31,0.04096827292173494,0.10922003537416458
32,0.040084371149944634,0.11100612580776215
33,0.039908302441245554,0.11030839383602142
34,0.04050076193410686,0.10163972526788712
35,0.040075996227111284,0.10058309137821198
36,0.03958917705728536,0.10164602845907211
37,0.03906567502357515,0.1044154018163681
38,0.03889306259812684,0.10049232840538025
39,0.0402268095756768,0.11312513053417206
40,0.03943669875120793,0.10210463404655457
41,0.039245424183591164,0.1174197569489479
42,0.04074732064571063,0.11823121458292007
43,0.03976985277783281,0.10882233828306198
44,0.03994975451189543,0.09888625890016556
45,0.040149820821654754,0.09908614307641983
46,0.0397083163963422,0.10782490670681
47,0.03918975205193584,0.10571011155843735
48,0.03883487941924102,0.10414422303438187
49,0.0394740234299084,0.10715780407190323
50,0.03856723414969127,0.1017039492726326
51,0.03817632023100049,0.10780744254589081
52,0.03881666988745545,0.10678476095199585
