trial_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
5,"[64, 32]",silu,0.1,0.001,0.0001,128,0.19091453451594753,0.14495301246643066,0.5612664818763733,0.009153307067782555,0.007116979453712702,0.1129375696182251,0.1536712348461151
6,"[128, 64]",gelu,0.0,0.001,0.0001,256,0.19789525384681236,0.15223218500614166,0.5285956859588623,0.009697205430124431,0.0074716052040457726,0.1167687252163887,0.15340624749660492
9,"[64, 32]",silu,0.1,0.0003,0.001,128,0.20743465707479564,0.16185808181762695,0.48205286264419556,0.010292410225752724,0.00810037087649107,0.13728347420692444,0.16821900010108948
1,"[128, 64]",silu,0.1,0.001,0.0001,256,0.2079914068638615,0.1616276651620865,0.4792688488960266,0.01013831569104394,0.007949290797114372,0.12883715331554413,0.16625696420669556
7,"[128, 64]",gelu,0.05,0.001,0.001,128,0.2082547258056098,0.16284671425819397,0.47794950008392334,0.010413125098577947,0.00818677805364132,0.12836854159832,0.16924427449703217
12,"[64, 32]",gelu,0.0,0.001,0.0001,256,0.20915350799153867,0.16735897958278656,0.4734336733818054,0.010526044861990772,0.008421706035733223,0.14180909097194672,0.17540128529071808
11,"[64, 32]",silu,0.0,0.0003,0.001,128,0.21291662634857253,0.17009933292865753,0.45431506633758545,0.010766794323006602,0.008597011677920818,0.13942761719226837,0.1775020807981491
3,"[64, 32, 16]",gelu,0.0,0.001,0.0001,128,0.215629026817647,0.16829636693000793,0.4403232932090759,0.010247175812075914,0.008027941919863224,0.13190236687660217,0.16545498371124268
2,"[64, 32, 16]",silu,0.05,0.0003,0.001,128,0.23664116422050854,0.18607328832149506,0.32593250274658203,0.011737818527344606,0.00932663306593895,0.1560497134923935,0.1945982277393341
10,"[64, 32, 16]",gelu,0.0,0.0003,0.001,256,0.23734356126156222,0.18907038867473602,0.3219250440597534,0.01150750267230194,0.009405913762748241,0.16136601567268372,0.20046110451221466
4,"[128, 64]",silu,0.1,0.0003,0.0001,256,0.23882020907874157,0.18918481469154358,0.31346142292022705,0.011950610631110213,0.00951225683093071,0.15408751368522644,0.19761332869529724
8,"[64, 32]",silu,0.0,0.001,0.0001,256,0.2730234144225378,0.217940554022789,0.10273116827011108,0.01414376627772281,0.010921726003289223,0.17624357342720032,0.20335042476654053
