model,split,run_dir,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error,best_params
OLS,random,D:\tokamak_tauE_baselines\tokamak_tauE_baselines\outputs_final\ols\20260423_205821_random,0.2131758993244689,0.16682087993494815,0.9473763267260736,0.05147838592656475,0.029552782711979114,0.1403631688007454,0.16922978258792226,
MLP,random,D:\tokamak_tauE_baselines\tokamak_tauE_baselines\outputs_final\mlp\20260423_205839_random,0.13865615863122138,0.1005997434258461,0.9777370095252991,0.0320882593026106,0.018319223076105118,0.07896295189857483,0.1022966206073761,"{""trial_id"": 11, ""hidden_dims"": [128, 64, 32], ""activation"": ""gelu"", ""dropout"": 0.0, ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""rmse_log"": 0.1162439467728155, ""mae_log"": 0.08700317144393921, ""r2_log"": 0.9860524535179138, ""rmse_raw"": 0.027580545088915182, ""mae_raw"": 0.015959955751895905, ""median_relative_error"": 0.06787240505218506, ""mean_relative_error"": 0.08774978667497635}"
KAN,random,D:\tokamak_tauE_baselines\tokamak_tauE_baselines\outputs_final\kan\20260423_210939_random,0.13006756484780488,0.09347324073314667,0.9804096221923828,0.030481611992609396,0.017032476142048836,0.06784357130527496,0.09399989992380142,"{""trial_id"": 4, ""hidden_dims"": [16], ""grid"": 7, ""k"": 5, ""adam_steps"": 1000, ""adam_lr"": 0.0003, ""lbfgs_steps"": 120, ""lamb"": 0.001, ""lamb_entropy"": 1.0, ""rmse_log"": 0.11680711761905362, ""mae_log"": 0.08538758009672165, ""r2_log"": 0.9859169721603394, ""rmse_raw"": 0.027858967879985045, ""mae_raw"": 0.01631936989724636, ""median_relative_error"": 0.06615017354488373, ""mean_relative_error"": 0.08647289872169495}"
OLS,group,D:\tokamak_tauE_baselines\tokamak_tauE_baselines\outputs_final\ols\20260423_205830_group,0.2530205871683462,0.2039710777564178,0.913345183265729,0.06815071229287038,0.042509951472733495,0.1797146394049716,0.2182480128257893,
MLP,group,D:\tokamak_tauE_baselines\tokamak_tauE_baselines\outputs_final\mlp\20260423_210855_group,0.6265654984780574,0.49763479828834534,0.4686092734336853,0.19352456944985316,0.1114768534898758,0.3789826035499573,0.42750614881515503,"{""trial_id"": 4, ""hidden_dims"": [128, 64, 32], ""activation"": ""gelu"", ""dropout"": 0.1, ""lr"": 0.001, ""weight_decay"": 0.0001, ""batch_size"": 256, ""rmse_log"": 0.29678673435930697, ""mae_log"": 0.25062912702560425, ""r2_log"": -2.1744534969329834, ""rmse_raw"": 0.007036988237715658, ""mae_raw"": 0.005487779621034861, ""median_relative_error"": 0.23459798097610474, ""mean_relative_error"": 0.2948886454105377}"
KAN,group,D:\tokamak_tauE_baselines\tokamak_tauE_baselines\outputs_final\kan\20260423_213717_group,1.3603613333477842,0.7140737175941467,-1.5048952102661133,0.21092739787459702,0.12263985723257065,0.45648258924484253,0.5533016324043274,"{""trial_id"": 1, ""hidden_dims"": [16, 8], ""grid"": 5, ""k"": 5, ""adam_steps"": 500, ""adam_lr"": 0.001, ""lbfgs_steps"": 60, ""lamb"": 1e-05, ""lamb_entropy"": 0.0, ""rmse_log"": 0.517835445137412, ""mae_log"": 0.3775920271873474, ""r2_log"": -8.664148330688477, ""rmse_raw"": 0.01869715250262568, ""mae_raw"": 0.010564574040472507, ""median_relative_error"": 0.3141608238220215, ""mean_relative_error"": 0.5802960395812988}"
