trial_id,hidden_dims,grid,k,adam_steps,adam_lr,lbfgs_steps,lamb,lamb_entropy,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
1,"[16, 8]",5,5,500,0.001,60,1e-05,0.0,0.517835445137412,0.3775920271873474,-8.664148330688477,0.01869715250262568,0.010564574040472507,0.3141608238220215,0.5802960395812988
3,[8],3,5,500,0.0003,60,0.0001,0.0,0.5839205295530605,0.5405416488647461,-11.288178443908691,0.008833149598587896,0.008244073018431664,0.4777640104293823,0.4529527723789215
6,[16],5,5,1000,0.0003,60,0.0,2.0,0.6314078624603745,0.5108773112297058,-13.368121147155762,0.02151712649496342,0.015128144063055515,0.4697902500629425,0.7975851893424988
16,[8],5,5,1000,0.001,120,0.001,2.0,0.6671933587060491,0.5048758387565613,-15.04292106628418,0.026477515566990645,0.01691609062254429,0.34533920884132385,0.8409516215324402
12,"[16, 8]",3,5,500,0.0003,120,0.0001,0.0,0.6806900479187852,0.46169695258140564,-15.698553085327148,0.025749929912437613,0.01587376743555069,0.18632102012634277,0.8009052276611328
5,[16],7,3,500,0.001,120,0.0001,1.0,0.7678019655876707,0.7335391640663147,-20.246061325073242,0.01233404067695646,0.011625378392636776,0.5867488384246826,0.6166908144950867
4,[16],7,5,1000,0.0003,120,0.001,1.0,0.8301515434558207,0.5681343674659729,-23.836750030517578,0.03859351224912934,0.023081127554178238,0.2744868993759155,1.1558212041854858
10,"[8, 4]",7,5,500,0.001,60,0.0,1.0,0.8481885232096347,0.7099185585975647,-24.92774772644043,0.03170784628070721,0.021043837070465088,0.45694833993911743,1.0584709644317627
2,[8],7,3,1000,0.001,60,0.0,0.0,0.8994422270334059,0.8444450497627258,-28.155908584594727,0.033319245670184815,0.027312692254781723,1.1177196502685547,1.4487859010696411
13,"[8, 4]",3,3,500,0.0003,60,0.0,0.0,0.9914952964863522,0.968020498752594,-34.42919921875,0.015350512433478233,0.01438206247985363,0.6600978374481201,0.7669399380683899
7,[8],7,5,1000,0.001,120,0.0001,1.0,0.9932358377302979,0.9349719285964966,-34.5536994934082,0.037203302847418324,0.03160073235630989,1.2732877731323242,1.7015793323516846
9,"[16, 8]",7,3,1000,0.001,60,0.001,2.0,1.0192442157423105,0.9651700854301453,-36.440059661865234,0.03246008548811949,0.03036528453230858,1.9395699501037598,1.765496850013733
11,[8],5,5,1000,0.0003,120,0.0001,2.0,1.0221348983212593,0.9832389950752258,-36.65272903442383,0.03917756716219327,0.03358505293726921,1.4258924722671509,1.7942622900009155
8,[8],7,3,500,0.001,60,0.001,2.0,1.082735514140285,0.6826934814453125,-41.24980926513672,0.07035169899549698,0.03949704393744469,0.16231508553028107,1.9468023777008057
15,[8],3,5,500,0.001,60,0.0,2.0,1.0863954415531902,1.0689327716827393,-41.535926818847656,0.019005544580583594,0.016816521063447,0.699246883392334,0.8907781839370728
14,[8],3,5,500,0.001,60,0.001,1.0,1.1189383811689393,1.1083643436431885,-44.12242126464844,0.02176284087947428,0.018520912155508995,0.6978591680526733,0.9735416173934937
