x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
-0.14946509169934616,0.8611684994238933,124,0.19217379827499512,1.7250624326594877,2.6675923520462907
0.4799539600989037,1.616,125,0.4968561983050731,0.8265371182190537,3.216000721322972
0.49041881398832804,1.633,116,0.6450167557096586,0.8964645334489072,1.345890683054615
0.4971322966339881,1.644,119,0.6705880779082746,0.9071061807299604,1.4088837127481986
0.5025918188388871,1.653,139,0.473153911196298,0.9653579536558785,3.0999206345700245
0.5116253039365549,1.668,127,0.6703582099301365,1.4968796549929297,3.2792880597220067
0.521765563804325,1.685,124,0.8707466620098904,2.1160880338831634,3.1903458712119885
1.0511712140679732,2.8609999999999998,125,0.8136101110982845,1.2170191642237072,1.5955278451901795
1.0624722155286501,2.8935155482550363,126,0.6770982423523593,0.9924755021954463,1.4928489345637979
1.0671072090820986,2.90695810318,123,0.621852928923543,0.9575722497840645,1.4243837321785635
1.0726104861291088,2.9229999999999996,127,0.6782894844039004,1.0724818102444376,1.6077666528347696
1.0854144647659103,2.96066665649414,125,0.14405632143090136,1.0924504422523438,1.6000599721502409
