x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
0.9041910686716483,2.469933108444235,124,-0.2841984139472004,0.1676648387411826,0.789213633356578
1.1399141552374945,3.1264999600191903,126,-0.20724790631240686,0.3579907992136845,1.0769677917289955
1.2894809195678174,3.63090133666992,125,-0.23832433688531288,0.21258455294356868,0.7936261351698889
1.3847932349936236,3.9940000000000007,125,-0.3872028988244207,0.05030374778754245,0.6489904174650339
1.4973884086254774,4.47,125,-0.4949185256897564,-0.003389153454540379,0.5318103323918966
1.599387576580599,4.95,125,-0.36521639786513344,0.0027396941078103977,0.3809671914366647
1.6992786164338898,5.47,125,-0.3966506322249306,-0.05567502122664561,0.25009782009806475
1.791187657956813,5.99657011309,125,-0.2976247427764283,-0.027779692308829085,0.2997883469993295
1.8955187035189074,6.656,125,-0.2845638714594625,-0.032392926062428905,0.36506878490495404
2.019824224861333,7.537000000000001,125,-0.3638618963534275,-0.16991315993992848,0.14586126496794352
2.1312034762384253,8.424999999999999,125,-0.3350507039171141,-0.18951520102898395,0.017497530004123366
2.333114298028869,10.310000000000002,125,-0.27640102531627586,-0.09871885222355757,0.08295640640634355
