x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
0.0,1.0,250,0.5368023353685353,2.4724212309755194,5.4613630035973895
0.17881541746466695,1.1958,125,-0.009398610989787382,0.7534728270603422,1.5353335336758467
0.2007078099827866,1.2222675852559184,124,0.33088089114400954,0.9029675932874979,1.5794374630080672
0.21139480427966176,1.2354,125,0.3813120648607574,1.196063619413376,1.7732759654136674
0.22298353531182002,1.24979999599936,126,0.17767436089304306,1.275343184124257,1.8178455788764598
0.23665190133900194,1.267,125,-0.03169219078503737,0.9005090996443231,2.1009556205385125
0.2551847068590049,1.2907,125,-0.6674815700768577,1.0156928812111452,2.1850474355554437
0.2799018851328186,1.323,125,-0.857628800275369,0.7762760380444468,1.9813349835722944
0.30961473938260453,1.362899941301635,124,-1.4551069438269226,0.8994117610852669,2.264459830791699
0.34929622142739647,1.4180691906121654,126,-0.6474045803957237,1.3182369812263302,2.4263895193723806
0.4222566707480012,1.5254,125,-1.4791621867684808,0.22595859153392783,1.5199041194891176
