x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
-1.38070998282599,0.2514,125,0.805553140892539,1.1919470947684443,1.9399613401051616
-1.054260623753199,0.3484499677141612,124,0.7189574401611092,1.6069701637940357,1.989342268178053
-0.2958491045130144,0.743899670654585,126,0.7641250620516356,1.5392659281649406,1.8936496543272439
-0.11580567607913371,0.8906482807483547,124,-0.018014758387646518,1.2628981804725479,1.762704474075317
-0.0020521053812716386,0.9979499987474323,124,1.1190284445975223,1.6764302434257494,1.8320919368551938
0.0,1.0,127,1.1951415917653379,1.5220652516585376,1.8241537833555537
0.03518234223783654,1.03580856323242,125,0.9656695222172141,1.21403183534581,1.6116931518471056
0.31853010875441595,1.37510502326,125,0.9393902853953686,1.286487641140762,1.6320145993866906
0.6066757524171513,1.83432350685,125,0.7910920306701704,1.4404611463919825,1.8667705378608332
0.7802418874108791,2.182,125,0.6499166123122657,1.5605880044480402,2.1911318945260714
0.9214615138931234,2.51296043395996,125,0.9066168688075599,1.7084825274626236,2.1721518428596953
1.1416717781285568,3.1320000000000006,125,0.24645565239293116,0.44696758935457975,2.1082520108429317
