x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
-1.5916848493881193,0.2035823170731707,125,-0.8171603946441963,-0.4250370890783072,0.531005771557974
-1.4269153304108024,0.2400482509047045,125,-0.6655783706644546,0.32789694576131506,2.815662519727499
-1.2419455553197074,0.288821752265861,125,-0.7645337881883779,0.0782322549566445,0.7790019103031084
-1.2055902733401167,0.29951515151515146,125,-0.8484184818087123,-0.2070855000781372,0.4413568214276084
-1.1794720269349606,0.3074410163339383,125,-0.8483028818179733,-0.04291507974906177,0.5507146930464282
-1.1628048994897167,0.3126081156718239,125,-0.9482527289040918,-0.28631560880972756,0.4147702373876571
-1.1522535787831412,0.31592400690846273,125,-1.0894634686698124,-0.2749739480401508,0.3151103149351389
-1.1413176841389,0.31939787889154975,125,-1.110665979263505,-0.360564651266819,0.2111705292172783
-1.1301275018829817,0.322992071699414,125,-1.217369984586523,-0.45861265837731946,0.3057857898900195
-1.1162615191900545,0.3275018683000732,125,-1.230146235394953,-0.4897735313066676,0.2889320593174241
-1.0016800484919168,0.36726190476190473,125,-0.8946793455192718,0.06683052878265276,0.6376127774048118
-0.9177031614874975,0.3994354269583627,125,-0.005208082184168319,0.6053490932107324,1.4606934688602966
