x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
0.2143046026470055,1.239,125,-0.9250294322111342,-0.7151541534598514,-0.516247758594711
0.8458682675776092,2.33,125,-1.342049469983267,-0.9259812265772414,-0.3666256035798227
1.1659593621277198,3.209,125,-1.2248463664936904,-0.6790353086070963,-0.3924634204751434
1.5334573264946532,4.634171,123,-0.8471070618565485,-0.6965632106584512,-0.5196497829357746
1.6505798557652755,5.21,127,-0.8816189385431367,-0.7790080329416267,-0.6273331244320863
1.766441661243765,5.85,125,-0.9224586522803738,-0.776941765000554,-0.4845141977990875
1.9501867058225735,7.029999999999999,125,-0.9129064063976857,-0.7514241386314512,-0.5222903772526207
2.080191260570382,8.006,125,-0.8739008839925311,-0.7228726318322467,-0.542801458343536
2.2653477093482968,9.634474015446294,124,-0.9091115060934857,-0.7296938726401945,-0.5396288036206772
2.455423883433267,11.651371325564417,126,-0.9429828718467672,-0.7895839588346085,-0.564387925703078
2.6762154775821916,14.530000000000001,125,-1.132643936163253,-0.9065440757220303,-0.5503773548629028
2.961914377298063,19.334950739100005,125,-1.1849348771623893,-0.8403315596227023,-0.3332433691867672
