x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
0.0,1.0,250,-4.838242202258913,1.657424650617711,9.153771142397945
0.17881541746466695,1.1958,125,-5.1527013336501994,0.8929778210685827,4.857090318341887
0.2007078099827866,1.2222675852559184,124,-1.203878054273469,2.106727419016531,6.622283831293498
0.21139480427966176,1.2354,125,0.04850414097717114,3.7335810612957023,9.018325955595214
0.22298353531182002,1.24979999599936,126,-4.439642545567009,3.4783188171325476,10.810043772598114
0.23665190133900194,1.267,125,-9.668854903407022,1.0284009229149367,12.023322084979629
0.2551847068590049,1.2907,125,-8.566570893380355,1.1913907387538643,9.515310811075173
0.2799018851328186,1.323,125,-6.3873379456599615,-0.11649185255885211,6.603387745204707
0.30961473938260453,1.362899941301635,124,-5.0613832715528675,1.0387590142178884,7.482369009251137
0.34929622142739647,1.4180691906121654,126,-1.2967983491114818,2.358025721958035,7.142738308231933
0.4222566707480012,1.5254,125,-5.23559814278141,0.33671489455434384,5.098007630718401
