x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
-0.026652030997426513,0.9737,125,-0.8870420347392612,0.6010369257763409,1.581113580417726
0.264669298142708,1.303,125,-0.27119815399086755,0.44120898138839887,0.9601002879329392
0.5167453103047193,1.67656207084656,125,-1.4362307233671394,0.5190624968527617,1.4046376958450366
0.6297794756243865,1.87719656601539,125,-1.7745236371247388,-0.16247327752672883,1.2342819760918817
0.6916460544336782,1.997,125,-1.1132904100169043,0.384489857356517,2.7409092001818625
0.7463213601645786,2.1092266425078208,124,-1.6056157954680887,-0.1610380395250815,1.6177562004145736
0.7875478559814296,2.198,126,-0.904982384339014,0.6518033276225774,1.2218942645083055
0.8746350566053226,2.398,125,-3.3054671544072227,-0.8407054171785061,1.5033279417145513
0.9050275395954444,2.472,125,-4.63352779665255,-1.1347468821631923,2.686241848109459
0.9372691382593468,2.553,125,-2.7025290812844824,-0.46770035432866913,2.529342671343757
0.9995283304442107,2.717,125,-2.8104703947964884,-0.41481824413566565,1.487823892737339
1.1249295969854831,3.08,125,-2.2930653600759268,-0.06628941511874238,1.6982749170075382
