x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
0.2143046026470055,1.239,125,-1.2249234747160587,-0.7888573778988339,-0.3505603788827774
0.8458682675776092,2.33,125,-1.393278969817822,-1.1176234595209464,-0.5218771305002415
1.1659593621277198,3.209,125,-1.2165214674987113,-0.6791876110179444,-0.15644154331146515
1.5334573264946532,4.634171,123,-1.1251687451697667,-0.631054307088235,-0.20988194710863395
1.6505798557652755,5.21,127,-1.4138114949241247,-0.8884339655767819,-0.044108866529339284
1.766441661243765,5.85,125,-1.6099455279108612,-0.7553734057687651,0.05641745792828581
1.9501867058225735,7.029999999999999,125,-1.2631249114846221,-0.6035654308889568,-0.1353937944615339
2.080191260570382,8.006,125,-1.4704250353705421,-0.7639601035846897,-0.35613088741039883
2.2653477093482968,9.634474015446294,124,-1.3956326026039234,-0.7243975016162645,-0.312202069947457
2.455423883433267,11.651371325564417,126,-1.1980902644969835,-0.7332494298424634,-0.29196500331519754
2.6762154775821916,14.530000000000001,125,-1.3412660012259896,-0.7640887540053434,-0.12867670614942467
2.961914377298063,19.334950739100005,125,-1.5559496475538037,-0.8160885431066858,0.028603593300877122
