x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
-1.5916848493881193,0.2035823170731707,125,-3.6786655468844676,-0.8924405188640764,1.8124765893206727
-1.4269153304108024,0.2400482509047045,125,-1.9477528939750695,0.6855673020799037,3.050073004901098
-1.2419455553197074,0.288821752265861,125,-2.958754715261574,1.103833756134521,5.667697576122052
-1.2055902733401167,0.29951515151515146,125,-1.4807622428950074,1.4912436984697968,5.668826731155961
-1.1794720269349606,0.3074410163339383,125,-2.9063944696059667,0.8933704849367511,5.409309488575843
-1.1628048994897167,0.3126081156718239,125,-3.9472627517467593,1.090048853946478,4.42845488972708
-1.1522535787831412,0.31592400690846273,125,-4.15223474300464,1.1149309495895927,4.31276260034759
-1.1413176841389,0.31939787889154975,125,-2.290319656333873,1.1616238487284367,3.1785364863217502
-1.1301275018829817,0.322992071699414,125,-3.1548752478003546,0.0970853201198154,4.257070249684905
-1.1162615191900545,0.3275018683000732,125,-2.244205938323157,0.44870048712063443,4.175070400252511
-1.0016800484919168,0.36726190476190473,125,-2.845255067423836,-0.14430718257679434,2.9520503214545823
-0.9177031614874975,0.3994354269583627,125,-5.182985776951931,-0.053766463645954124,4.252296682351364
