x_mid_log,x_mid,n,exp_p10,exp_p50,exp_p90
-0.14946509169934616,0.8611684994238933,124,-1.1138112808382745,0.5181225721336571,2.171597273402316
0.4799539600989037,1.616,125,0.7236816492632826,2.643229842568198,5.525880489367815
0.49041881398832804,1.633,116,0.8720439182466038,3.8813979813589863,6.054089043846487
0.4971322966339881,1.644,119,1.4619071508377284,4.399333641019032,7.250164344169598
0.5025918188388871,1.653,139,1.7852412567531868,5.0666195387959965,8.139860546856953
0.5116253039365549,1.668,127,1.473803151144626,5.066094211651938,9.468622666452532
0.521765563804325,1.685,124,0.719849555087083,4.743439056705771,9.762629323736746
1.0511712140679732,2.8609999999999998,125,-1.8555603888317136,1.22266441398125,3.468736148206966
1.0624722155286501,2.8935155482550363,126,-1.150380310362598,1.4263757021870995,5.06268526281268
1.0671072090820986,2.90695810318,123,-0.6049449251715773,2.2459283300752984,4.605877631838542
1.0726104861291088,2.9229999999999996,127,-0.6033514328346011,2.003498518898597,4.79679848901645
1.0854144647659103,2.96066665649414,125,-1.153561333559575,1.7907012823752095,4.87403634094551
