epoch,train_mse,val_mse
1,0.9219417274709533,1.4684088230133057
2,0.5815219640874066,0.6464377641677856
3,0.27608739657589815,0.27735549211502075
4,0.23466483967685473,0.6920386552810669
5,0.18784070516400803,0.6489827036857605
6,0.16964345107072862,0.3927099108695984
7,0.14547315037193617,0.4483778476715088
8,0.13230177349364275,0.5850586295127869
9,0.12196832411613555,0.4442538619041443
10,0.10585195663649598,0.48672452569007874
11,0.10369402671628465,0.5723473429679871
12,0.09703090262370348,0.5119861364364624
13,0.09122093144564185,0.5772393941879272
14,0.08606114903540486,0.5927732586860657
15,0.08836584522217726,0.5435119867324829
16,0.09000308175075594,0.6195546388626099
17,0.08259537474636815,0.5881134867668152
18,0.08171009864471408,0.6290488243103027
19,0.079198354112789,0.5922074913978577
20,0.07895309611408124,0.5863696932792664
21,0.0747563637135137,0.5820379853248596
22,0.07902224834892801,0.5751357078552246
23,0.07757260728636334,0.576897144317627
24,0.07799618769445965,0.5801248550415039
25,0.07497970555377746,0.6229344606399536
26,0.07704988236679097,0.6353035569190979
27,0.07743859918774738,0.6025639772415161
28,0.06986575497220979,0.5992444157600403
29,0.0742054428007267,0.6083477735519409
30,0.0728565073240913,0.6559387445449829
31,0.07325852728117623,0.6410587430000305
32,0.07435672948923772,0.6157932281494141
33,0.06886868076599015,0.6232782602310181
34,0.06844355372227462,0.6279124617576599
35,0.07384025341073198,0.6479172110557556
36,0.07408990739424644,0.6473073959350586
37,0.0715523385453907,0.6384049654006958
38,0.06764759329594405,0.6173101663589478
39,0.07116285249199673,0.6095608472824097
40,0.07305008653097904,0.6432955861091614
41,0.07158531870933023,0.6537764668464661
42,0.07231042190923896,0.6647067070007324
43,0.0731741433389716,0.6673301458358765
44,0.07206664901217869,0.6519156098365784
45,0.07096502485380538,0.6297300457954407
46,0.07069775229208794,0.6360180974006653
47,0.07002693487593553,0.6609328985214233
48,0.07127631491223498,0.6488197445869446
49,0.0681100015512941,0.6652085185050964
50,0.07208955844504167,0.6747795939445496
51,0.0662673936183242,0.6589722037315369
52,0.06974916168997566,0.6517499685287476
53,0.0722625526046127,0.6490238308906555
