TOK,SHOT,PHASE,RGEO,AMIN,EPSILON,IP,BT,NEL,PL,KAPPA,DELTA,MEFF,TAUTH,RHO*,BETA,NU*,Q95,TAU_norm,SELDB5
ASDEX,6553,HSELM,1.681,0.4054,0.2411659726353361,0.2961,2.195,2.723,1.909,0.9863626099011612,1.0,1.5,0.04877,0.006441830997955052,0.004229568793212292,0.16884191911325092,4.362,0.07136676666666666,1
ASDEX,6553,HGELM,1.684,0.4119,0.24459619952494063,0.2963,2.197,3.105,1.804,0.9709749534929435,1.0,1.5,0.07274,0.0068601308479647495,0.005646408521640154,0.13927620741090063,4.671,0.10653985333333334,1
ASDEX,6553,HGELM,1.675,0.414,0.2471641791044776,0.2937,2.195,3.16,2.511,0.9656079974190386,1.0,1.5,0.05061,0.007041201525479062,0.0061156640851186325,0.12520774764608106,4.864,0.0740593,1
ASDEX,6602,HSELM,1.677,0.3948,0.23542039355992841,0.3719,2.195,4.433,1.871,1.012091496179249,1.0,1.5,0.06392,0.005984446721154023,0.005635887796774697,0.3296007465226339,3.164,0.09353626666666666,1
ASDEX,6602,HGELM,1.678,0.4006,0.23873659117997617,0.3708,2.196,5.096,2.146,0.9972733572640489,1.0,1.5,0.07868,0.006555248950867135,0.008003722043740611,0.24703963277878943,3.339,0.11518752000000002,1
ASDEX,6602,HGELM,1.675,0.4016,0.23976119402985074,0.3699,2.197,5.125,2.557,0.9942778457875601,1.0,1.5,0.06717,0.006758067523951437,0.008597825782904913,0.2170191894227134,3.39,0.09838166,1
ASDEX,6606,HGELM,1.676,0.3962,0.23639618138424823,0.3705,2.195,6.017,1.974,1.0080544433386034,1.0,1.5,0.07724,0.005726727448507499,0.007054793266519175,0.5263485004462962,3.218,0.11302786666666666,1
ASDEX,6606,HGELM,1.677,0.3968,0.23661299940369707,0.3704,2.195,6.476,2.121,1.0067112771108806,1.0,1.5,0.07806,0.005776336007362711,0.007748495272693173,0.5443059259629457,3.233,0.11422779999999999,1
ASDEX,6606,HGELM,1.676,0.3984,0.237708830548926,0.3699,2.195,6.802,2.612,1.0026652432732595,1.0,1.5,0.06204,0.005734400737353661,0.00808562648678095,0.5783127319786673,3.284,0.09078519999999998,1
ASDEX,6616,HSELM,1.654,0.4027,0.24347037484885128,0.2966,2.197,3.283,1.678,0.9930979291599737,1.0,1.5,0.05202,0.005678097305379759,0.003909328023564706,0.33773396131865235,4.337,0.07619196,1
ASDEX,6616,HSELM,1.651,0.4087,0.24754694124772866,0.296,2.197,3.585,1.977,0.9783969098537045,1.0,1.5,0.05515,0.00611016256190206,0.00509174064857005,0.2571180289178797,4.637,0.08077636666666667,1
ASDEX,6616,HSELM,1.649,0.4119,0.24978775015160704,0.2947,2.197,3.659,2.548,0.9707598963222535,1.0,1.5,0.0456,0.006416983306103855,0.005821972123072976,0.2088126785749804,4.844,0.06678880000000001,1
