trial_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
1,"[128, 64]",relu,0.0,0.001,1e-05,128,0.11140680042788946,0.0839957669377327,0.9871890544891357,0.028441173298540193,0.01588415913283825,0.0675530955195427,0.08447082340717316
11,"[128, 64]",relu,0.1,0.001,0.0001,128,0.11382376315570535,0.08546584099531174,0.9866271615028381,0.028489440251679193,0.015807773917913437,0.06463444232940674,0.08589217066764832
23,"[64, 32]",relu,0.05,0.003,1e-05,256,0.11745833254159307,0.08946842700242996,0.9857594966888428,0.029024025813541122,0.016718020662665367,0.06750641018152237,0.0906086415052414
16,"[64, 32]",gelu,0.0,0.001,0.001,128,0.12761732361234254,0.0977960079908371,0.9831896424293518,0.031869105163281425,0.018359728157520294,0.07774616032838821,0.0983324870467186
9,"[128, 64]",silu,0.1,0.003,0.001,128,0.12945816346782413,0.10142593085765839,0.9827011823654175,0.0322169972442705,0.01897456869482994,0.08290372788906097,0.10160428285598755
12,"[128, 64]",gelu,0.0,0.0003,0.0001,128,0.1322383109075692,0.10281074047088623,0.9819502234458923,0.03262905002216608,0.019362809136509895,0.08197003602981567,0.10323028266429901
4,"[128, 64]",gelu,0.0,0.0003,0.0001,256,0.1335111362602273,0.10408436506986618,0.9816010594367981,0.033305272235810944,0.019642479717731476,0.08248692005872726,0.10432597994804382
24,"[64, 32]",gelu,0.05,0.0003,0.001,128,0.13842324681888163,0.10759178549051285,0.9802222847938538,0.03461607386802194,0.02029315195977688,0.08695761114358902,0.10783287137746811
5,[64],gelu,0.0,0.001,0.001,256,0.13973031611382375,0.10687412321567535,0.9798470735549927,0.033742873989809546,0.019924134016036987,0.08279247581958771,0.10754964500665665
13,"[64, 32, 16]",silu,0.1,0.003,1e-05,256,0.14021000291709795,0.10854858160018921,0.9797084331512451,0.03450677901117971,0.02028808183968067,0.08561604470014572,0.10976002365350723
17,[128],gelu,0.0,0.0003,1e-05,128,0.14083897682550536,0.10920131206512451,0.9795259833335876,0.03484060059948689,0.02053898014128208,0.08577709645032883,0.10954882204532623
18,[32],relu,0.05,0.003,0.0001,128,0.14202239542974948,0.11079095304012299,0.9791804552078247,0.03282834582944472,0.019997868686914444,0.08984450250864029,0.11157587170600891
2,[32],gelu,0.0,0.001,1e-05,128,0.14207370574649628,0.10967814177274704,0.9791654348373413,0.0352665145550138,0.020730283111333847,0.08900881558656693,0.1099778339266777
14,"[64, 32]",silu,0.05,0.0003,1e-05,128,0.14209504134382295,0.11032680422067642,0.9791591763496399,0.03550039503996792,0.020691484212875366,0.08924335986375809,0.11056198924779892
7,[64],silu,0.0,0.003,1e-05,128,0.14244869314490027,0.11001848429441452,0.9790552854537964,0.03529829397015318,0.02056470513343811,0.0836106687784195,0.11068371683359146
3,[32],relu,0.05,0.001,1e-05,256,0.1453967662766681,0.11370651423931122,0.978179395198822,0.035114293095859284,0.020770933479070663,0.09438939392566681,0.11441907286643982
21,[64],silu,0.0,0.001,1e-05,256,0.14721623384232027,0.11341502517461777,0.9776298403739929,0.03721307238648179,0.02168220281600952,0.0891716405749321,0.11357483267784119
19,[32],relu,0.05,0.003,1e-05,128,0.14731535135260215,0.11476811021566391,0.9775997400283813,0.036231436356633125,0.021235214546322823,0.09305931627750397,0.1156264990568161
6,[64],silu,0.05,0.003,0.001,128,0.15559077075075767,0.11959560215473175,0.9750123620033264,0.03729317815849109,0.02204875275492668,0.09563115984201431,0.11978530138731003
8,[32],gelu,0.05,0.003,0.001,128,0.15883737160017114,0.12195111066102982,0.9739586710929871,0.03836469393182835,0.02246541902422905,0.09782373160123825,0.122212715446949
15,[32],silu,0.05,0.003,0.001,256,0.1621237886294607,0.12450332939624786,0.9728699326515198,0.039131160832027646,0.023044761270284653,0.10131756216287613,0.12450189888477325
10,[32],silu,0.1,0.003,0.0001,128,0.16341621966980094,0.1255149245262146,0.9724356532096863,0.03978089219840391,0.02327403984963894,0.1032220721244812,0.12557658553123474
22,[64],silu,0.05,0.0003,0.001,128,0.165214789246585,0.12675301730632782,0.9718255400657654,0.040135475415558404,0.02352546527981758,0.10578473657369614,0.12681807577610016
20,[32],silu,0.1,0.0003,0.001,256,0.1721261584427163,0.13319715857505798,0.969419002532959,0.04184302462771006,0.02456038072705269,0.11064636707305908,0.13375777006149292
