epoch,train_mse,val_mse
1,0.29954032741260195,0.10019344836473465
2,0.06666363564601269,0.050719521939754486
3,0.050276487149664616,0.058266084641218185
4,0.045960245728143764,0.04200096055865288
5,0.04453335372639484,0.044328346848487854
6,0.04104020018174163,0.042300689965486526
7,0.04033791152564089,0.04633362218737602
8,0.04030425851375074,0.04896717518568039
9,0.03933416567830068,0.04163618013262749
10,0.0378099476233718,0.03993888944387436
11,0.03725050601767991,0.03809182345867157
12,0.03717970503472333,0.04141445457935333
13,0.03584531393661153,0.03783928602933884
14,0.03569941917997054,0.038542404770851135
15,0.036137365973805374,0.03504619747400284
16,0.035218407847074494,0.05060816556215286
17,0.03465118135305981,0.03534631058573723
18,0.03420503760755621,0.04691068083047867
19,0.03409927461374839,0.035254381597042084
20,0.033447516615343315,0.033555883914232254
21,0.03338525895317209,0.033648956567049026
22,0.03340891960231845,0.0338195264339447
23,0.033069808917246604,0.034194331616163254
24,0.03306586761245683,0.03543718159198761
25,0.032477081999775954,0.031611863523721695
26,0.032371911881120756,0.033845074474811554
27,0.03306939176761434,0.032993804663419724
28,0.03203820711136981,0.03310312703251839
29,0.032060218726304435,0.031171366572380066
30,0.032204656397151726,0.0311341043561697
31,0.03177454124097941,0.034196894615888596
32,0.03183865402356244,0.031482137739658356
33,0.03174026169982113,0.03774266317486763
34,0.03200096052916463,0.03292356804013252
35,0.030546881781947696,0.03254375606775284
36,0.031423608107226234,0.03055420145392418
37,0.03126541250309006,0.03695949539542198
38,0.03052026542902551,0.037545520812273026
39,0.0307741572413009,0.03277776390314102
40,0.0314547384737945,0.036111075431108475
41,0.030105837588078523,0.03272896632552147
42,0.030125830989915538,0.03462718799710274
43,0.030250877695947677,0.03541130945086479
44,0.03007731427911852,0.0329301618039608
45,0.030047418388256704,0.031115161255002022
46,0.030124729979059177,0.03157676011323929
47,0.031185453404308203,0.03207147866487503
48,0.029633083819156508,0.03753754869103432
49,0.029657509662123698,0.03133774176239967
50,0.029920170484961334,0.03157459571957588
51,0.029589847358384234,0.034655313938856125
52,0.029515976862724547,0.03326937556266785
53,0.028808847139534962,0.03512739762663841
54,0.02919487262567815,0.035168640315532684
55,0.029237996167405148,0.034375883638858795
56,0.028289436534989356,0.034207988530397415
57,0.028700417631787774,0.03555905818939209
58,0.028470243717733535,0.0319635383784771
59,0.029027548315444095,0.033274419605731964
60,0.028302909265462074,0.03469293192028999
61,0.02805126156108301,0.04171610623598099
62,0.028169088366613734,0.0365101657807827
63,0.028386754906393884,0.03748505935072899
64,0.028418587197918243,0.04048789292573929
65,0.028797933413042955,0.037800636142492294
66,0.028409692814325004,0.039660822600126266
67,0.028166557607661923,0.03864257037639618
68,0.029009629027869997,0.03476390987634659
69,0.02846477475165623,0.03659361973404884
70,0.02771873704094518,0.0378478541970253
71,0.027563455128558068,0.03795119374990463
72,0.027638758377846007,0.03529827669262886
73,0.02818794565523955,0.04037703201174736
74,0.027501596159692113,0.039228685200214386
75,0.02802601936044263,0.03978687897324562
76,0.02825206608470067,0.038045503199100494
77,0.027939857919405998,0.039450500160455704
78,0.027401097773179516,0.03922975808382034
79,0.027977373978816653,0.03979312628507614
80,0.027811632877699943,0.03633469343185425
81,0.027443236141384903,0.037862103432416916
82,0.027533644478794285,0.03696493059396744
83,0.027646389259876076,0.03720702603459358
84,0.027462432893817543,0.04108840972185135
85,0.027354410153746046,0.03932647779583931
86,0.02784251853544483,0.041052743792533875
