trial_id,hidden_dims,grid,k,adam_steps,adam_lr,lbfgs_steps,lamb,lamb_entropy,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
1,"[8, 4]",3,3,500,0.001,60,1e-05,0.0,0.12150121783673451,0.09097117930650711,0.9847623109817505,0.02963945346128529,0.016919784247875214,0.07075388729572296,0.0913960263133049
15,[16],3,3,500,0.001,40,0.0,0.0,0.12308192132458655,0.09400057792663574,0.9843632578849792,0.02964372454346232,0.01734565570950508,0.07249917089939117,0.09431109577417374
4,"[8, 4]",5,3,500,0.001,60,0.0001,1.0,0.12393200124487608,0.09072977304458618,0.9841465353965759,0.03131613215849577,0.017043529078364372,0.0676189586520195,0.09210719168186188
12,[16],5,3,500,0.001,60,1e-05,0.0,0.1249852544312715,0.08805976808071136,0.9838759303092957,0.03302294917340073,0.01693505235016346,0.06219804286956787,0.08926057815551758
11,"[8, 4]",5,3,300,0.001,40,0.001,1.0,0.12577051122801192,0.09324662387371063,0.9836726784706116,0.030814622996311096,0.017401793971657753,0.07292743027210236,0.09425301104784012
9,"[8, 4]",5,3,500,0.001,60,1e-05,2.0,0.12619373911567125,0.09295427054166794,0.9835625886917114,0.03348759148462585,0.01765381172299385,0.07169728726148605,0.0933593139052391
5,[8],3,3,500,0.001,60,0.0001,2.0,0.12779600861303853,0.09682639688253403,0.9831425547599792,0.031726104894830916,0.018001027405261993,0.07657784968614578,0.09755057096481323
14,"[8, 4]",3,3,300,0.001,60,0.0,2.0,0.12817434401635389,0.09455613791942596,0.9830425977706909,0.035824518864154165,0.01790660060942173,0.07223265618085861,0.09441117197275162
7,[8],3,3,300,0.001,60,0.0001,0.0,0.12831306524147587,0.09594064950942993,0.9830058813095093,0.03669756534398594,0.018696803599596024,0.0737374946475029,0.0966339111328125
10,[4],5,3,300,0.001,40,1e-05,1.0,0.12863912503774136,0.09785560518503189,0.9829193949699402,0.03498579631930009,0.01894054375588894,0.0769643634557724,0.09913320094347
2,[4],5,3,300,0.001,40,0.001,0.0,0.12876034195112415,0.09779970347881317,0.9828871488571167,0.03504700376152777,0.01904221624135971,0.07674829661846161,0.09899132698774338
6,[8],3,3,500,0.001,40,1e-05,2.0,0.12921113747126253,0.09899607300758362,0.9827671647071838,0.03252706082554172,0.01843411661684513,0.07932744920253754,0.0997854694724083
8,[4],5,3,300,0.001,60,0.001,2.0,0.13063568953302665,0.09966904670000076,0.9823850393295288,0.03514591369737962,0.019261818379163742,0.07804172486066818,0.10072209686040878
3,[4],3,3,300,0.001,60,0.0,0.0,0.13601828701256177,0.10705268383026123,0.9809035658836365,0.035601570420288386,0.020852647721767426,0.0903358906507492,0.10756015032529831
17,[4],3,3,300,0.001,60,1e-05,0.0,0.13685545898324228,0.10560370236635208,0.980667769908905,0.035793998627779974,0.020057769492268562,0.08380580693483353,0.10572964698076248
16,[4],3,3,300,0.001,60,1e-05,1.0,0.1377151015109792,0.10721635818481445,0.980424165725708,0.036056195684239324,0.02043089084327221,0.08523265272378922,0.10752783715724945
13,[4],3,3,500,0.001,60,0.0001,2.0,0.1378025151655762,0.10708201676607132,0.9803993105888367,0.034021481447894776,0.02001377008855343,0.08577515184879303,0.1072421669960022
18,[4],3,3,500,0.001,60,0.001,2.0,0.1399596221738521,0.10973522067070007,0.9797808527946472,0.03742564007458041,0.021135834977030754,0.08986912667751312,0.10979563742876053
