term,coef,ci_low,ci_high,p_value
const,-2.8037405799287165,-2.8995034671832554,-2.7079776926741776,0.0
log_BT,0.2691778980104714,0.2151949153968587,0.32316088062408405,5.231680580337519e-22
log_IP,0.792793847909422,0.7232414824190478,0.8623462133997961,3.922892052578927e-97
log_NEL,0.16898013979271045,0.12404685996863982,0.2139134196167811,2.5480458558722724e-13
log_PL,-0.4980693129405678,-0.5246136021014698,-0.4715250237796658,5.997281912735057e-218
log_RGEO,1.5595830174387504,1.4549405135439426,1.6642255213335582,3.2508249215945235e-152
log_EPSILON,0.37630778178406593,0.2516993632589621,0.5009162003091698,3.821219444040772e-09
log_KAPPA,0.7783468643943516,0.6624617128007334,0.8942320159879699,8.672586010460932e-38
log_DELTA,-0.14994724817452088,-0.27542536683155633,-0.024469129517485422,0.0192013606211872
log_MEFF,0.35329534997733464,0.28891761852610925,0.41767308142856,3.5646193227903805e-26
