term,coef,ci_low,ci_high,p_value
const,-2.528955048776182,-2.576833124489928,-2.4810769730624362,0.0
BT,0.11554761806130465,0.08969370525765819,0.1414015308649511,2.3670349554723214e-18
IP,1.0485038572894636,1.0169337273421506,1.0800739872367766,0.0
NEL,0.1159499329959176,0.09793123667618925,0.13396862931564596,4.1076608077553805e-36
PL,-0.6500574970596342,-0.6619057637741127,-0.6382092303451558,0.0
RGEO,1.4717168342666684,1.4235073528782856,1.5199263156550513,0.0
EPSILON,0.04860314011004796,-0.014393890285295599,0.11160017050539152,0.1304778942044051
KAPPA,0.2006273335143467,0.14170904777999602,0.25954561924869735,2.647621026023668e-11
DELTA,0.17574029027429194,0.10688356594837368,0.24459701460021022,5.769102653767329e-07
MEFF,0.2994909032532065,0.26773146184457053,0.33125034466184244,1.2374771283100775e-74
