held_out_tok,n_test,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
ASDEX,575,0.426441398309822,0.3785460293292999,-1.3641555309295654,0.02050523159839423,0.017407558858394623,0.3243178725242615,0.30344507098197937
AUG,2141,0.24783190475678296,0.20193101465702057,0.5871269702911377,0.024238873396901627,0.01886245422065258,0.1822691410779953,0.22409066557884216
CMOD,82,1.0221216026717141,1.0036249160766602,-21.336414337158203,0.0422112343503415,0.04058931767940521,0.6406939625740051,0.6261078119277954
