term,coef,ci_low,ci_high,p_value
const,-2.480562458748608,-2.532183029634345,-2.428941887862871,0.0
BT,0.2850248977076123,0.25176446836586674,0.31828532704935786,8.916984982293608e-62
IP,0.8156363646902165,0.775917203938713,0.85535552544172,4.32293172018395e-310
NEL,0.19733747119571912,0.1755455740228014,0.21912936836863683,1.4238431158409148e-68
PL,-0.6480939955871666,-0.6617175866650229,-0.6344704045093104,0.0
RGEO,1.7142974306739556,1.6599122700896618,1.7686825912582493,0.0
EPSILON,0.4927642587958942,0.41441889772678775,0.5711096198650006,1.8066037660745551e-34
KAPPA,0.5608616610937016,0.48187160334810875,0.6398517188392945,2.6780612356340872e-43
DELTA,-0.03916857083533696,-0.12327096871244955,0.04493382704177563,0.36127880056614436
MEFF,0.29210350275549135,0.25848472388191923,0.32572228162906347,2.0611102296955527e-63
